ClarifyingQuestion,Text,lowercase,pnctRemoved,text_wo_stop,text_lemmatized
Which color blocks?,Which color blocks?,which color blocks?,which color blocks,color blocks,color block
After you remove the one green block there are no more green blocks. Which green blocks are you referring to?,After you remove the one green block there are no more green blocks. Which green blocks are you referring to?,after you remove the one green block there are no more green blocks. which green blocks are you referring to?,after you remove the one green block there are no more green blocks which green blocks are you referring to,remove one green block green blocks green blocks referring,remove one green block green block green block refer
in any square west of the red blocks?,in any square west of the red blocks?,in any square west of the red blocks?,in any square west of the red blocks,square west red blocks,square west red block
Should I destory east or west puyrple?,Should I destory east or west puyrple?,should i destory east or west puyrple?,should i destory east or west puyrple,destory east west puyrple,destory east west puyrple
Where exactly am I placing the blue blocks?,Where exactly am I placing the blue blocks?,where exactly am i placing the blue blocks?,where exactly am i placing the blue blocks,exactly placing blue blocks,exactly place blue block
What purple blocks? There are none only blue.,What purple blocks? There are none only blue.,what purple blocks? there are none only blue.,what purple blocks there are none only blue,purple blocks none blue,purple block none blue
How do i place in the bottom if the purple are touching the ground?,How do i place in the bottom if the purple are touching the ground?,how do i place in the bottom if the purple are touching the ground?,how do i place in the bottom if the purple are touching the ground,place bottom purple touching ground,place bottom purple touching ground
Where on the map do I place the yellow block?,Where on the map do I place the yellow block?,where on the map do i place the yellow block?,where on the map do i place the yellow block,map place yellow block,map place yellow block
Should the two purple blocks I'm setting be placed vertically on top of one another or horizontally and if horizontally which directions should they span?,Should the two purple blocks I'm setting be placed vertically on top of one another or horizontally and if horizontally which directions should they span?,should the two purple blocks i'm setting be placed vertically on top of one another or horizontally and if horizontally which directions should they span?,should the two purple blocks im setting be placed vertically on top of one another or horizontally and if horizontally which directions should they span,two purple blocks im setting placed vertically top one another horizontally horizontally directions span,two purple block im set place vertically top one another horizontally horizontally direction span
How many blue blocks am I adding to the first just one on the north and one on the east?,How many blue blocks am I adding to the first just one on the north and one on the east?,how many blue blocks am i adding to the first just one on the north and one on the east?,how many blue blocks am i adding to the first just one on the north and one on the east,many blue blocks adding first one north one east,many blue block add first one north one east
How many blocks do I remove from the top? Do I remove the block on the far lower right once or twice I can't tell from the instructions?,How many blocks do I remove from the top? Do I remove the block on the far lower right once or twice I can't tell from the instructions?,how many blocks do i remove from the top? do i remove the block on the far lower right once or twice i can't tell from the instructions?,how many blocks do i remove from the top do i remove the block on the far lower right once or twice i cant tell from the instructions,many blocks remove top remove block far lower right twice cant tell instructions,many block remove top remove block far low right twice cant tell instruction
Where is the yellow one? There is no yellow block?,Where is the yellow one? There is no yellow block?,where is the yellow one? there is no yellow block?,where is the yellow one there is no yellow block,yellow one yellow block,yellow one yellow block
There are no yellow or blue blocks. Do you want me to place them first?,There are no yellow or blue blocks. Do you want me to place them first?,there are no yellow or blue blocks. do you want me to place them first?,there are no yellow or blue blocks do you want me to place them first,yellow blue blocks want place first,yellow blue block want place first
There aren't any yellow or blue blocks do you need me to place them somewhere first?,There aren't any yellow or blue blocks do you need me to place them somewhere first?,there aren't any yellow or blue blocks do you need me to place them somewhere first?,there arent any yellow or blue blocks do you need me to place them somewhere first,arent yellow blue blocks need place somewhere first,arent yellow blue block need place somewhere first
Which direction do we first face before we remove the blue block?,Which direction do we first face before we remove the blue block?,which direction do we first face before we remove the blue block?,which direction do we first face before we remove the blue block,direction first face remove blue block,direction first face remove blue block
The map appears empty to me. Can you clarify your instructions?,The map appears empty to me. Can you clarify your instructions?,the map appears empty to me. can you clarify your instructions?,the map appears empty to me can you clarify your instructions,map appears empty clarify instructions,map appear empty clarify instruction
Do we build it horizontally or vertically?,Do we build it horizontally or vertically?,do we build it horizontally or vertically?,do we build it horizontally or vertically,build horizontally vertically,build horizontally vertically
Is it built on top of the left or right yellow block?,Is it built on top of the left or right yellow block?,is it built on top of the left or right yellow block?,is it built on top of the left or right yellow block,built top left right yellow block,build top left right yellow block
The board is empty.,The board is empty.,the board is empty.,the board is empty,board empty,board empty
How many green blocks do we destroy?,How many green blocks do we destroy?,how many green blocks do we destroy?,how many green blocks do we destroy,many green blocks destroy,many green block destroy
Which set of purple blocks east or west?,Which set of purple blocks east or west?,which set of purple blocks east or west?,which set of purple blocks east or west,set purple blocks east west,set purple block east west
What color blocks do I place on the west and east side?,What color blocks do I place on the west and east side?,what color blocks do i place on the west and east side?,what color blocks do i place on the west and east side,color blocks place west east side,color block place west east side
What yellow block?,What yellow block?,what yellow block?,what yellow block,yellow block,yellow block
The only vertical violet blocks that are consecutive are on the left side so which ones?,The only vertical violet blocks that are consecutive are on the left side so which ones?,the only vertical violet blocks that are consecutive are on the left side so which ones?,the only vertical violet blocks that are consecutive are on the left side so which ones,vertical violet blocks consecutive left side ones,vertical violet block consecutive leave side one
There aren't any yellow and blue blocks do you want me to place them first?,There aren't any yellow and blue blocks do you want me to place them first?,there aren't any yellow and blue blocks do you want me to place them first?,there arent any yellow and blue blocks do you want me to place them first,arent yellow blue blocks want place first,arent yellow blue block want place first
Diagonally in what direction?A purple one on top of which block?,Diagonally in what direction?A purple one on top of which block?,diagonally in what direction?a purple one on top of which block?,diagonally in what directiona purple one on top of which block,diagonally directiona purple one top block,diagonally directiona purple one top block
You say left but left in terms of which direction where should i be facing for it to be left as orientation matters,You say left but left in terms of which direction where should i be facing for it to be left as orientation matters,you say left but left in terms of which direction where should i be facing for it to be left as orientation matters,you say left but left in terms of which direction where should i be facing for it to be left as orientation matters,say left left terms direction facing left orientation matters,say left left term direction facing leave orientation matter
Where are the blue blocks?,Where are the blue blocks?,where are the blue blocks?,where are the blue blocks,blue blocks,blue block
Where on the green blocks should the reds be placed?,Where on the green blocks should the reds be placed?,where on the green blocks should the reds be placed?,where on the green blocks should the reds be placed,green blocks reds placed,green block red place
What green blocks since there are none?,What green blocks since there are none?,what green blocks since there are none?,what green blocks since there are none,green blocks since none,green block since none
The instructions are step by step but direction based so once you do one you have to re orient yourself and then there is too many overall,The instructions are step by step but direction based so once you do one you have to re orient yourself and then there is too many overall,the instructions are step by step but direction based so once you do one you have to re orient yourself and then there is too many overall,the instructions are step by step but direction based so once you do one you have to re orient yourself and then there is too many overall,instructions step step direction based one orient many overall,instruction step step direction base one orient many overall
do we place the 3 blocks next to each individual green box?,do we place the 3 blocks next to each individual green box?,do we place the 3 blocks next to each individual green box?,do we place the 3 blocks next to each individual green box,place 3 blocks next individual green box,place 3 block next individual green box
Do I place the orange blocks horizontally or vertical?,Do I place the orange blocks horizontally or vertical?,do i place the orange blocks horizontally or vertical?,do i place the orange blocks horizontally or vertical,place orange blocks horizontally vertical,place orange block horizontally vertical
Should I place the yellow blocks next to the West most blocks or the East most blocks?,Should I place the yellow blocks next to the West most blocks or the East most blocks?,should i place the yellow blocks next to the west most blocks or the east most blocks?,should i place the yellow blocks next to the west most blocks or the east most blocks,place yellow blocks next west blocks east blocks,place yellow block next west block east block
Where do I place two green ones?,Where do I place two green ones?,where do i place two green ones?,where do i place two green ones,place two green ones,place two green one
Can you please specify which red one is on the left? (direction?),Can you please specify which red one is on the left? (direction?),can you please specify which red one is on the left? (direction?),can you please specify which red one is on the left direction,please specify red one left direction,please specify red one leave direction
There are five exposed surfaces total for this green block - what's the placement of these?,There are five exposed surfaces total for this green block - what's the placement of these?,there are five exposed surfaces total for this green block - what's the placement of these?,there are five exposed surfaces total for this green block  whats the placement of these,five exposed surfaces total green block whats placement,five expose surface total green block whats placement
I can only place one block in the center.,I can only place one block in the center.,i can only place one block in the center.,i can only place one block in the center,place one block center,place one block center
There are no blue blocks on this board; where to place the green blocks and in what position?,There are no blue blocks on this board; where to place the green blocks and in what position?,there are no blue blocks on this board; where to place the green blocks and in what position?,there are no blue blocks on this board where to place the green blocks and in what position,blue blocks board place green blocks position,blue block board place green block position
Where do the 5 purple blocks placed horizontally to the left of the left block go as there's only space for 4 blocks horizontally?,Where do the 5 purple blocks placed horizontally to the left of the left block go as there's only space for 4 blocks horizontally?,where do the 5 purple blocks placed horizontally to the left of the left block go as there's only space for 4 blocks horizontally?,where do the 5 purple blocks placed horizontally to the left of the left block go as theres only space for 4 blocks horizontally,5 purple blocks placed horizontally left left block go theres space 4 blocks horizontally,5 purple block place horizontally left leave block go there space 4 block horizontally
There are no blocks to break. Also where should I start placing green blocks?,There are no blocks to break. Also where should I start placing green blocks?,there are no blocks to break. also where should i start placing green blocks?,there are no blocks to break also where should i start placing green blocks,blocks break also start placing green blocks,block break also start place green block
There are no green blocks. Where do I place the reds?,There are no green blocks. Where do I place the reds?,there are no green blocks. where do i place the reds?,there are no green blocks where do i place the reds,green blocks place reds,green block place red
Does the orange row connect to the green column?,Does the orange row connect to the green column?,does the orange row connect to the green column?,does the orange row connect to the green column,orange row connect green column,orange row connect green column
Where are the green blocks? I do not see any.,Where are the green blocks? I do not see any.,where are the green blocks? i do not see any.,where are the green blocks i do not see any,green blocks see,green block see
What blue blocks?,What blue blocks?,what blue blocks?,what blue blocks,blue blocks,blue block
There is no blue block on the stucture,There is no blue block on the stucture,there is no blue block on the stucture,there is no blue block on the stucture,blue block stucture,blue block stucture
Which direction is top left?,Which direction is top left?,which direction is top left?,which direction is top left,direction top left,direction top leave
Which green blocks?,Which green blocks?,which green blocks?,which green blocks,green blocks,green block
There is no orange blocks in the structure,There is no orange blocks in the structure,there is no orange blocks in the structure,there is no orange blocks in the structure,orange blocks structure,orange block structure
